spend_multiplier,spending_rule,use_dynamic_spending,initial_money,initial_annual_cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1.0,3.0,1,18000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9994,0.9992,0.9992,0.999,0.999,0.9986,0.9986,0.9984,0.9984,0.9982,0.998,0.9978,0.9976,0.9976,0.9976,0.9974,0.9974,0.9974,0.9972
1.0,3.5,0,15428.571428571428,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9992,0.9988,0.9988,0.9984,0.9984,0.998,0.9972,0.9964,0.9956,0.9946,0.994,0.9932,0.9922,0.9906,0.9898,0.9886,0.9876,0.9874,0.9868,0.9864
1.0,3.5,1,15428.571428571428,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.999,0.9986,0.9982,0.9972,0.9964,0.996,0.995,0.9942,0.9936,0.9918,0.9904,0.9888,0.9878,0.9862,0.9862,0.986,0.9858,0.9852,0.9846,0.9842,0.9842
1.0,4.0,0,13500.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.999,0.9988,0.9984,0.9974,0.997,0.9962,0.9946,0.9928,0.9918,0.9898,0.9876,0.986,0.984,0.9814,0.9792,0.9782,0.9772,0.9754,0.9738,0.973,0.9708,0.9702
1.0,4.0,1,13500.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.998,0.9974,0.9962,0.9948,0.9922,0.991,0.9878,0.985,0.9814,0.9798,0.9774,0.975,0.9722,0.97,0.9674,0.9666,0.9642,0.9626,0.9606,0.9594,0.958,0.9576
1.0,4.5,0,12000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9988,0.9982,0.9974,0.9964,0.9952,0.9934,0.9908,0.988,0.9838,0.981,0.9788,0.976,0.9726,0.9698,0.9666,0.9628,0.9606,0.9582,0.9552,0.9526,0.951,0.9472,0.9456
1.0,4.5,1,12000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9986,0.9976,0.9964,0.9934,0.991,0.987,0.983,0.9784,0.9736,0.968,0.9604,0.9556,0.9508,0.9446,0.9408,0.9342,0.9308,0.9268,0.9224,0.92,0.9174,0.915,0.9124,0.9106
1.0,5.0,0,10800.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9988,0.9976,0.997,0.9956,0.9932,0.9902,0.987,0.9828,0.9784,0.9742,0.9696,0.9654,0.9608,0.954,0.95,0.9434,0.9390000000000001,0.933,0.9276,0.924,0.9194,0.917,0.9132,0.9096
1.0,5.0,1,10800.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9984,0.9974,0.9956,0.9918,0.9882,0.982,0.9742,0.9672,0.9596,0.9506,0.943,0.9339999999999999,0.925,0.9166,0.907,0.8994,0.8902,0.883,0.8772,0.8694,0.8654,0.8616,0.858,0.8542,0.852
1.0,5.5,0,9818.181818181818,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9986,0.998,0.9962,0.9946,0.9918,0.989,0.9842,0.9768,0.9712,0.9672,0.9616,0.9548,0.9466,0.9394,0.9298,0.9226,0.9168000000000001,0.9116,0.9057999999999999,0.8996,0.8942,0.886,0.8798,0.875,0.8714
1.0,5.5,1,9818.181818181818,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9984,0.9974,0.995,0.9912,0.9872,0.9782,0.9682,0.958,0.9472,0.937,0.9252,0.9117999999999999,0.9,0.8872,0.8735999999999999,0.8618,0.8508,0.8424,0.8316,0.8240000000000001,0.8152,0.8064,0.8002,0.795,0.791,0.7876
