rule,strategy,year,survival_rate
5.0,DRv2_DSv2,32,0.7625
5.0,DRv2_DSv2,33,0.761
5.0,DRv2_DSv2,34,0.7605
5.0,DRv2_DSv2,35,0.76
5.0,DRv2_DSv2,36,0.76
5.0,DRv2_DSv2,37,0.76
5.0,DRv2_DSv2,38,0.7595
5.0,DRv2_DSv2,39,0.759
5.0,DRv2_DSv2,40,0.759
5.0,DRv2_DSv2,41,0.759
5.0,DRv2_DSv2,42,0.7585
5.0,DRv2_DSv2,43,0.7585
5.0,DRv2_DSv2,44,0.7585
5.0,DRv2_DSv2,45,0.7585
5.0,DRv2_DSv2,46,0.7585
5.0,DRv2_DSv2,47,0.7585
5.0,DRv2_DSv2,48,0.7585
5.0,DRv2_DSv2,49,0.7585
5.0,DRv2_DSv2,50,0.7585
5.0,DRv2_DSv2,51,0.7585
5.0,DRv2_DSv2,52,0.7585
5.0,DRv2_DSv2,53,0.7585
5.0,DRv2_DSv2,54,0.7585
5.0,DRv2_DSv2,55,0.7585
