"時点","地域コード","地域","消費者物価指数（総合）2020年基準","注記"
"2007年8月","00000","全国","95.8",""
"2007年9月","00000","全国","95.8",""
"2007年10月","00000","全国","96.0",""
"2007年11月","00000","全国","95.9",""
"2007年12月","00000","全国","96.0",""
"2008年1月","00000","全国","95.9",""
"2008年2月","00000","全国","95.7",""
"2008年3月","00000","全国","96.1",""
"2008年4月","00000","全国","96.0",""
"2008年5月","00000","全国","96.8",""
"2008年6月","00000","全国","97.3",""
"2008年7月","00000","全国","97.5",""
"2008年8月","00000","全国","97.8",""
"2008年9月","00000","全国","97.8",""
"2008年10月","00000","全国","97.7",""
"2008年11月","00000","全国","96.8",""
"2008年12月","00000","全国","96.4",""
"2009年1月","00000","全国","95.9",""
"2009年2月","00000","全国","95.6",""
"2009年3月","00000","全国","95.9",""
"2009年4月","00000","全国","96.0",""
"2009年5月","00000","全国","95.8",""
"2009年6月","00000","全国","95.6",""
"2009年7月","00000","全国","95.3",""
"2009年8月","00000","全国","95.6",""
"2009年9月","00000","全国","95.6",""
"2009年10月","00000","全国","95.2",""
"2009年11月","00000","全国","95.0",""
"2009年12月","00000","全国","94.8",""
"2010年1月","00000","全国","94.9",""
"2010年2月","00000","全国","94.9",""
"2010年3月","00000","全国","95.1",""
"2010年4月","00000","全国","95.1",""
"2010年5月","00000","全国","95.1",""
"2010年6月","00000","全国","94.9",""
"2010年7月","00000","全国","94.4",""
"2010年8月","00000","全国","94.5",""
"2010年9月","00000","全国","94.7",""
"2010年10月","00000","全国","95.0",""
"2010年11月","00000","全国","94.7",""
"2010年12月","00000","全国","94.5",""
"2011年1月","00000","全国","94.4",""
"2011年2月","00000","全国","94.4",""
"2011年3月","00000","全国","94.6",""
"2011年4月","00000","全国","94.7",""
"2011年5月","00000","全国","94.7",""
"2011年6月","00000","全国","94.6",""
"2011年7月","00000","全国","94.6",""
"2011年8月","00000","全国","94.7",""
"2011年9月","00000","全国","94.7",""
"2011年10月","00000","全国","94.8",""
"2011年11月","00000","全国","94.2",""
"2011年12月","00000","全国","94.3",""
"2012年1月","00000","全国","94.5",""
"2012年2月","00000","全国","94.7",""
"2012年3月","00000","全国","95.1",""
"2012年4月","00000","全国","95.2",""
"2012年5月","00000","全国","94.9",""
"2012年6月","00000","全国","94.4",""
"2012年7月","00000","全国","94.1",""
"2012年8月","00000","全国","94.3",""
"2012年9月","00000","全国","94.4",""
"2012年10月","00000","全国","94.4",""
"2012年11月","00000","全国","94.1",""
"2012年12月","00000","全国","94.1",""
"2013年1月","00000","全国","94.2",""
"2013年2月","00000","全国","94.0",""
"2013年3月","00000","全国","94.2",""
"2013年4月","00000","全国","94.5",""
"2013年5月","00000","全国","94.6",""
"2013年6月","00000","全国","94.6",""
"2013年7月","00000","全国","94.8",""
"2013年8月","00000","全国","95.1",""
"2013年9月","00000","全国","95.4",""
"2013年10月","00000","全国","95.5",""
"2013年11月","00000","全国","95.5",""
"2013年12月","00000","全国","95.6",""
"2014年1月","00000","全国","95.5",""
"2014年2月","00000","全国","95.5",""
"2014年3月","00000","全国","95.7",""
"2014年4月","00000","全国","97.7",""
"2014年5月","00000","全国","98.1",""
"2014年6月","00000","全国","98.0",""
"2014年7月","00000","全国","98.1",""
"2014年8月","00000","全国","98.3",""
"2014年9月","00000","全国","98.5",""
"2014年10月","00000","全国","98.2",""
"2014年11月","00000","全国","97.9",""
"2014年12月","00000","全国","97.9",""
"2015年1月","00000","全国","97.8",""
"2015年2月","00000","全国","97.6",""
"2015年3月","00000","全国","97.9",""
"2015年4月","00000","全国","98.4",""
"2015年5月","00000","全国","98.7",""
"2015年6月","00000","全国","98.4",""
"2015年7月","00000","全国","98.3",""
"2015年8月","00000","全国","98.4",""
"2015年9月","00000","全国","98.5",""
"2015年10月","00000","全国","98.5",""
"2015年11月","00000","全国","98.1",""
"2015年12月","00000","全国","98.1",""
"2016年1月","00000","全国","97.7",""
"2016年2月","00000","全国","97.8",""
"2016年3月","00000","全国","97.9",""
"2016年4月","00000","全国","98.1",""
"2016年5月","00000","全国","98.2",""
"2016年6月","00000","全国","98.1",""
"2016年7月","00000","全国","97.9",""
"2016年8月","00000","全国","97.9",""
"2016年9月","00000","全国","98.0",""
"2016年10月","00000","全国","98.6",""
"2016年11月","00000","全国","98.6",""
"2016年12月","00000","全国","98.4",""
"2017年1月","00000","全国","98.2",""
"2017年2月","00000","全国","98.1",""
"2017年3月","00000","全国","98.1",""
"2017年4月","00000","全国","98.5",""
"2017年5月","00000","全国","98.6",""
"2017年6月","00000","全国","98.5",""
"2017年7月","00000","全国","98.3",""
"2017年8月","00000","全国","98.5",""
