upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.05,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.997,0.9944,0.9904,0.9832,0.9768,0.9652000000000001,0.9528,0.9390000000000001,0.9258,0.9108,0.8918,0.873,0.8524,0.8324,0.813,0.793,0.773,0.7538,0.7302,0.7132000000000001,0.696,0.6758,0.6579999999999999,0.6364000000000001,0.6194,0.6008,0.5844,0.5668,0.5508,0.5352,0.5234,0.5064,0.48839999999999995,0.47419999999999995,0.46340000000000003,0.4504,0.43799999999999994,0.42679999999999996,0.4154
0.05,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9952,0.9926,0.9872,0.9802,0.9728,0.9614,0.951,0.9359999999999999,0.9268,0.9124,0.897,0.879,0.861,0.8434,0.8251999999999999,0.8076,0.7906,0.773,0.7548,0.7362,0.7192000000000001,0.7028,0.6859999999999999,0.667,0.649,0.634,0.6184000000000001,0.6024,0.5878,0.5760000000000001,0.5640000000000001,0.55,0.5342,0.5216000000000001,0.509,0.49739999999999995,0.48340000000000005,0.47219999999999995
0.05,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.998,0.9964,0.9942,0.99,0.984,0.9784,0.9702,0.9594,0.9502,0.9364,0.928,0.9166,0.903,0.8882,0.8722,0.8566,0.8432,0.8238,0.8096,0.7938000000000001,0.7774,0.7604,0.7442,0.733,0.7178,0.7,0.6856,0.6699999999999999,0.6546000000000001,0.6388,0.6266,0.614,0.6044,0.591,0.5766,0.562,0.5508,0.5378000000000001,0.5274
0.05,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.9972,0.9948,0.9924,0.9876,0.9826,0.9764,0.9682,0.9596,0.9492,0.9396,0.9298,0.9208,0.909,0.8976,0.8834,0.8704000000000001,0.8582,0.841,0.8302,0.8146,0.8024,0.7862,0.7732,0.7608,0.7485999999999999,0.733,0.7186,0.7061999999999999,0.694,0.6784,0.6662,0.6557999999999999,0.6448,0.6334,0.6228,0.6126,0.602,0.5902000000000001
0.05,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.996,0.994,0.9908,0.9866,0.9814,0.9748,0.9692,0.9594,0.9512,0.9432,0.9352,0.9268,0.9178,0.905,0.8938,0.884,0.8746,0.8613999999999999,0.8492,0.8376,0.8260000000000001,0.8109999999999999,0.8009999999999999,0.7896,0.7778,0.767,0.7556,0.7425999999999999,0.73,0.7182,0.7072,0.6964,0.6859999999999999,0.6756,0.665,0.6546000000000001,0.6434
0.06,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9966,0.9936,0.9874,0.977,0.9608,0.943,0.9224,0.8986,0.8714,0.84,0.8068,0.7794,0.7485999999999999,0.7166,0.6832,0.6524,0.6235999999999999,0.595,0.5671999999999999,0.538,0.5126,0.4878,0.46319999999999995,0.4396,0.42000000000000004,0.39759999999999995,0.37760000000000005,0.35960000000000003,0.34099999999999997,0.3264,0.3134,0.2982,0.2864,0.272,0.25739999999999996,0.24339999999999995,0.23340000000000005,0.22299999999999998,0.2138,0.20279999999999998
0.06,0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9974,0.9942,0.9894,0.9808,0.9684,0.9532,0.9346,0.9178,0.892,0.8662,0.8368,0.8082,0.7802,0.754,0.725,0.6936,0.6668000000000001,0.6388,0.6122000000000001,0.5851999999999999,0.5606,0.5376000000000001,0.5127999999999999,0.48660000000000003,0.4636,0.44399999999999995,0.42700000000000005,0.4072,0.38959999999999995,0.3752,0.35540000000000005,0.3378,0.32499999999999996,0.3124,0.30200000000000005,0.28759999999999997,0.2732,0.26160000000000005,0.251,0.24339999999999995
0.06,0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9982,0.9952,0.9918,0.9842,0.9752,0.9618,0.9448,0.9292,0.9124,0.8884,0.8624,0.8351999999999999,0.8109999999999999,0.7866,0.7612,0.7322,0.7106,0.6816,0.656,0.6344000000000001,0.6084,0.5833999999999999,0.5616,0.5404,0.5174000000000001,0.49339999999999995,0.47419999999999995,0.45399999999999996,0.43920000000000003,0.42379999999999995,0.40680000000000005,0.388,0.37139999999999995,0.35660000000000003,0.3438,0.3308,0.3166,0.30179999999999996,0.29279999999999995,0.2832
0.06,0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9986,0.9962,0.9936,0.9882,0.9792,0.9698,0.9562,0.9402,0.926,0.9096,0.8878,0.865,0.8418,0.8176,0.7942,0.772,0.7464,0.725,0.7012,0.6762,0.6542,0.633,0.6078,0.5880000000000001,0.5651999999999999,0.5456,0.5264,0.5087999999999999,0.48860000000000003,0.47540000000000004,0.4596,0.43979999999999997,0.42600000000000005,0.406,0.38980000000000004,0.3768,0.36319999999999997,0.3518,0.33899999999999997,0.3276
0.06,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.997,0.9944,0.9904,0.983,0.9764,0.965,0.952,0.9372,0.9238,0.9076,0.889,0.8664000000000001,0.8486,0.8274,0.8072,0.7858,0.7632,0.7434000000000001,0.7194,0.7010000000000001,0.6806,0.6604,0.6406000000000001,0.6186,0.5992,0.5798,0.5596,0.5424,0.5252,0.5092,0.49439999999999995,0.4758,0.4556,0.44299999999999995,0.4306,0.41600000000000004,0.403,0.3892,0.376
